le_accurary,le_accurary_frequency,le_frequency_probability,le_probability_log,le_self_entrocy,gru_accurary,gru_accurary_frequency,gru_frequency_probability,gru_probability_log,gru_self_entrocy,mul_accurary_multiply,mul_accurary_division,multiply_add_division,mul_frequency,mul_probability,mul_division_single,mul_division_single_log,mutual_information
0.63,35,0.009657836644591612,-6.694084223101268,0.06465037191185,0.8,93,0.02566225165562914,-5.284208428938204,0.13560468650420887,0.504,1.26984126984127,1.77384126984127,4,0.0011037527593818985,0.001228878648233487,-9.668441828052998,0.010671569346636864
0.55,10,0.0027593818984547464,-8.501439145158873,0.02345871728796599,0.73,34,0.009381898454746136,-6.7359043987958955,0.06319557107038092,0.4015,1.3272727272727272,1.7287727272727271,1,0.0002759381898454746,0.0029411764705882357,-8.4093909361377,0.0023204721126207782
0.47,8,0.002207505518763797,-8.823367240046235,0.019477631876481754,0.66,31,0.008554083885209713,-6.86917092965936,0.05875946435415015,0.3102,1.4042553191489364,1.7144553191489365,1,0.0002759381898454746,0.004032258064516129,-7.954196310386875,0.0021948665315637073
0.46,6,0.0016556291390728477,-9.238404739325079,0.015295372084975296,0.64,26,0.00717439293598234,-7.122927521905143,0.05110268089667045,0.2944,1.391304347826087,1.685704347826087,1,0.0002759381898454746,0.006410256410256411,-7.285402218862248,0.0020103207005690528
0.44,7,0.0019315673289183224,-9.016012317988631,0.01741503483055199,0.62,16,0.004415011037527594,-7.8233672400462355,0.03454025271543592,0.2728,1.4090909090909092,1.681890909090909,2,0.0005518763796909492,0.01785714285714286,-5.807354922057604,0.003204942009965565
0.97,144,0.039735099337748346,-4.6534422386039225,0.1849049896134009,0.91,137,0.03780353200883002,-4.725335157085708,0.17863435886333942,0.8827,0.9381443298969073,1.8208443298969073,13,0.00358719646799117,0.0006589618815896188,-10.567517366261747,0.03790776097168949
0.77,85,0.02345474613686534,-5.413976303908534,0.12698343979917917,0.68,31,0.008554083885209713,-6.86917092965936,0.05875946435415015,0.5236000000000001,0.8831168831168832,1.4067168831168833,2,0.0005518763796909492,0.0007590132827324478,-10.363587246524578,0.005719419010223277
0.86,107,0.029525386313465785,-5.081900253645088,0.150045068195371,0.99,153,0.042218543046357616,-4.565979397353583,0.19276899773595427,0.8513999999999999,1.1511627906976745,2.0025627906976746,4,0.0011037527593818985,0.00024433449392217944,-11.9988548290938,0.013243769127035098
0.83,87,0.024006622516556293,-5.380423744197507,0.129165801806066,0.95,140,0.03863134657836645,-4.694084223101268,0.18133879449066712,0.7885,1.144578313253012,1.933078313253012,3,0.0008278145695364238,0.0002463054187192118,-11.987264012072538,0.009923231798073293
0.78,88,0.024282560706401765,-5.363935621408938,0.13025009235209342,0.92,145,0.04001103752759382,-4.6434581500313,0.18578957829871373,0.7176,1.1794871794871795,1.8970871794871795,1,0.0002759381898454746,7.836990595611284e-05,-13.639340708652233,0.00376361498583119
0.81,105,0.028973509933774833,-5.109121722380112,0.14802918897624498,0.92,145,0.04001103752759382,-4.6434581500313,0.18578957829871373,0.7452000000000001,1.1358024691358024,1.8810024691358025,6,0.0016556291390728477,0.0003940886699507389,-11.309192106959902,0.018723827991655468
0.84,109,0.030077262693156734,-5.055182915269309,0.15204606450451288,0.93,140,0.03863134657836645,-4.694084223101268,0.18133879449066712,0.7812,1.1071428571428572,1.8883428571428573,9,0.0024834437086092716,0.0005897771952817824,-10.72754234027958,0.026641247533806905
0.79,73,0.020143487858719646,-5.633542681166218,0.11347919859965062,0.91,137,0.03780353200883002,-4.725335157085708,0.17863435886333942,0.7189000000000001,1.1518987341772151,1.8707987341772152,3,0.0008278145695364238,0.00029997000299970003,-11.702894141119387,0.009687826275761082
0.74,65,0.01793598233995585,-5.80099942701778,0.10404662327708492,0.83,113,0.03118101545253863,-5.003188277631048,0.15600449099677383,0.6142,1.1216216216216215,1.7358216216216213,7,0.0019315673289183224,0.0009530292716133426,-10.035191853386038,0.01938364872342778
0.84,109,0.030077262693156734,-5.055182915269309,0.15204606450451288,0.93,140,0.03863134657836645,-4.694084223101268,0.18133879449066712,0.7812,1.1071428571428572,1.8883428571428573,9,0.0024834437086092716,0.0005897771952817824,-10.72754234027958,0.026641247533806905
0.79,73,0.020143487858719646,-5.633542681166218,0.11347919859965062,0.88,134,0.0369757174392936,-4.757278049588463,0.17590376894173676,0.6952,1.1139240506329113,1.8091240506329114,8,0.002207505518763797,0.0008178286648947046,-10.25591374933779,0.022639986201628676
0.99,138,0.0380794701986755,-4.714842783268066,0.17953871525689657,0.89,114,0.03145695364238411,-4.990477225881493,0.1569852107479278,0.8811,0.898989898989899,1.780089898989899,4,0.0011037527593818985,0.0002542588354945334,-11.941414470942911,0.013180369173226172
0.9,102,0.028145695364238412,-5.1509418980747395,0.1449768415021036,0.79,81,0.022350993377483443,-5.48351723716161,0.12256205745311546,0.7110000000000001,0.8777777777777778,1.5887777777777778,2,0.0005518763796909492,0.0002420721374969741,-12.012275344856121,0.006629291029170045
0.98,134,0.0369757174392936,-4.757278049588463,0.17590376894173676,0.87,119,0.03283664459161148,-4.928549476738292,0.161837027519828,0.8526,0.8877551020408163,1.7403551020408163,4,0.0011037527593818985,0.0002508466072996363,-11.960906953765717,0.013201884054929046
0.91,133,0.036699779249448124,-4.768084804545046,0.1749876597694512,0.8,93,0.02566225165562914,-5.284208428938204,0.13560468650420887,0.7280000000000001,0.8791208791208791,1.6071208791208793,2,0.0005518763796909492,0.0001616945589780904,-12.594441246609222,0.006950574639409062
0.99,138,0.0380794701986755,-4.714842783268066,0.17953871525689657,0.87,119,0.03283664459161148,-4.928549476738292,0.161837027519828,0.8613,0.8787878787878788,1.7400878787878789,2,0.0005518763796909492,0.00012178784557301182,-13.003342220086113,0.007176237428303594
1.0,89,0.02455849889624724,-5.347633809079837,0.1313298589978216,0.88,134,0.0369757174392936,-4.757278049588463,0.17590376894173676,0.88,0.88,1.76,3,0.0008278145695364238,0.0002515512326010397,-11.956860120703015,0.009898063013826999
0.82,112,0.03090507726269316,-5.016012317988631,0.15502024823805924,0.96,127,0.035044150110375274,-4.834682553274069,0.16942734113294888,0.7871999999999999,1.170731707317073,1.957931707317073,1,0.0002759381898454746,7.03037120359955e-05,-13.796039608829771,0.0038068541966969566
0.62,24,0.006622516556291391,-7.2384047393250786,0.0479364552273184,0.78,85,0.02345474613686534,-5.413976303908534,0.12698343979917917,0.48360000000000003,1.2580645161290323,1.7416645161290323,3,0.0008278145695364238,0.0014705882352941176,-9.409390936137703,0.007789230907398761
0.5,11,0.0030353200883002206,-8.363935621408938,0.025387221808912338,0.68,31,0.008554083885209713,-6.86917092965936,0.05875946435415015,0.34,1.36,1.7000000000000002,1,0.0002759381898454746,0.0029325513196480934,-8.413627929024173,0.0023216412607682596
0.44,7,0.0019315673289183224,-9.016012317988631,0.01741503483055199,0.62,16,0.004415011037527594,-7.8233672400462355,0.03454025271543592,0.2728,1.4090909090909092,1.681890909090909,2,0.0005518763796909492,0.01785714285714286,-5.807354922057604,0.003204942009965565
0.34,1,0.0002759381898454746,-11.823367240046235,0.003262518554096643,0.53,7,0.0019315673289183224,-9.016012317988631,0.01741503483055199,0.18020000000000003,1.5588235294117647,1.7390235294117646,1,0.0002759381898454746,0.14285714285714285,-2.807354922057604,0.0007746564354463587
0.24,1,0.0002759381898454746,-11.823367240046235,0.003262518554096643,0.42,2,0.0005518763796909492,-10.823367240046235,0.005973160728502337,0.10079999999999999,1.75,1.8508,1,0.0002759381898454746,0.5,-1.0,0.0002759381898454746
0.37,5,0.0013796909492273732,-9.501439145158873,0.013109049593210367,0.55,9,0.0024834437086092716,-8.653442238603922,0.02149033668527464,0.20350000000000001,1.4864864864864866,1.6899864864864866,1,0.0002759381898454746,0.02222222222222222,-5.491853096329675,0.0015154120022984755
0.42,7,0.0019315673289183224,-9.016012317988631,0.01741503483055199,0.58,13,0.00358719646799117,-8.122927521905142,0.029138536916326393,0.24359999999999998,1.380952380952381,1.624552380952381,1,0.0002759381898454746,0.01098901098901099,-6.507794640198696,0.0017957490729025101
0.61,28,0.00772626931567329,-7.016012317988631,0.05420760069086139,0.73,34,0.009381898454746136,-6.7359043987958955,0.06319557107038092,0.4453,1.1967213114754098,1.6420213114754099,2,0.0005518763796909492,0.0021008403361344537,-8.894817763307943,0.004908839825225134
0.65,33,0.009105960264900662,-6.778973120687782,0.06172905987381258,0.78,85,0.02345474613686534,-5.413976303908534,0.12698343979917917,0.507,1.2,1.7069999999999999,3,0.0008278145695364238,0.0010695187165775401,-9.868822554774999,0.008169555095012417
0.83,87,0.024006622516556293,-5.380423744197507,0.129165801806066,0.93,140,0.03863134657836645,-4.694084223101268,0.18133879449066712,0.7719,1.1204819277108435,1.8923819277108436,5,0.0013796909492273732,0.00041050903119868636,-11.250298417906333,0.015521934903292402
0.74,65,0.01793598233995585,-5.80099942701778,0.10404662327708492,0.83,113,0.03118101545253863,-5.003188277631048,0.15600449099677383,0.6142,1.1216216216216215,1.7358216216216213,7,0.0019315673289183224,0.0009530292716133426,-10.035191853386038,0.01938364872342778
0.78,88,0.024282560706401765,-5.363935621408938,0.13025009235209342,0.88,134,0.0369757174392936,-4.757278049588463,0.17590376894173676,0.6864,1.1282051282051282,1.814605128205128,3,0.0008278145695364238,0.00025440976933514245,-11.940558308373914,0.009884568136071121
0.69,38,0.010485651214128035,-6.575439726602649,0.06894776755267679,0.81,78,0.02152317880794702,-5.537965021183987,0.11919461138309904,0.5589,1.173913043478261,1.732813043478261,4,0.0011037527593818985,0.0013495276653171392,-9.533329732305834,0.01052243899813006
0.66,40,0.011037527593818985,-6.501439145158873,0.07175981396422598,0.81,78,0.02152317880794702,-5.537965021183987,0.11919461138309904,0.5346000000000001,1.2272727272727273,1.7618727272727273,2,0.0005518763796909492,0.000641025641025641,-10.60733031374961,0.0058539350517381955
0.66,40,0.011037527593818985,-6.501439145158873,0.07175981396422598,0.83,113,0.03118101545253863,-5.003188277631048,0.15600449099677383,0.5478,1.2575757575757573,1.8053757575757574,1,0.0002759381898454746,0.00022123893805309737,-12.14210705730255,0.003350471042302028
0.63,35,0.009657836644591612,-6.694084223101268,0.06465037191185,0.8,93,0.02566225165562914,-5.284208428938204,0.13560468650420887,0.504,1.26984126984127,1.77384126984127,4,0.0011037527593818985,0.001228878648233487,-9.668441828052998,0.010671569346636864
0.68,48,0.013245033112582781,-6.2384047393250786,0.08262787734205403,0.85,123,0.03394039735099338,-4.880852734706996,0.1656580812276381,0.5780000000000001,1.2499999999999998,1.8279999999999998,4,0.0011037527593818985,0.0006775067750677507,-10.527477006060396,0.01161973179476865
0.75,69,0.01903973509933775,-5.714842783268066,0.10880909272778604,0.9,132,0.03642384105960265,-4.778973120687782,0.17406855737604504,0.675,1.2,1.875,2,0.0005518763796909492,0.00021958717610891522,-12.152918576136623,0.006706908706477165
0.91,133,0.036699779249448124,-4.768084804545046,0.1749876597694512,0.98,135,0.037251655629139076,-4.746551642995404,0.17681690723078905,0.8918,1.0769230769230769,1.968723076923077,8,0.002207505518763797,0.00044555834029518236,-11.13209803255202,0.024574167842278193
0.92,122,0.0336644591611479,-4.892629902483349,0.16470773954276174,0.98,135,0.037251655629139076,-4.746551642995404,0.17681690723078905,0.9016000000000001,1.0652173913043477,1.9668173913043479,12,0.0033112582781456954,0.0007285974499089252,-10.42259043389256,0.034511888853948874
0.96,139,0.03835540838852097,-4.704426167322728,0.18044018688130772,0.96,127,0.035044150110375274,-4.834682553274069,0.16942734113294888,0.9216,1.0,1.9216,12,0.0033112582781456954,0.0006797711437149494,-10.522663258774516,0.03484325582375668
0.98,134,0.0369757174392936,-4.757278049588463,0.17590376894173676,0.95,140,0.03863134657836645,-4.694084223101268,0.18133879449066712,0.9309999999999999,0.9693877551020408,1.9003877551020407,12,0.0033112582781456954,0.0006396588486140724,-10.610409706681583,0.03513380697576683
0.96,139,0.03835540838852097,-4.704426167322728,0.18044018688130772,0.99,153,0.042218543046357616,-4.565979397353583,0.19276899773595427,0.9503999999999999,1.03125,1.98165,9,0.0024834437086092716,0.00042319085907744394,-11.206403913973848,0.02783047329629267
0.83,87,0.024006622516556293,-5.380423744197507,0.129165801806066,0.89,114,0.03145695364238411,-4.990477225881493,0.1569852107479278,0.7387,1.072289156626506,1.8109891566265062,3,0.0008278145695364238,0.00030248033877797946,-11.690871009292314,0.009677873352063174
0.66,40,0.011037527593818985,-6.501439145158873,0.07175981396422598,0.72,54,0.014900662251655629,-6.068479737882766,0.09042436695520678,0.4752,1.0909090909090908,1.566109090909091,2,0.0005518763796909492,0.0009259259259259261,-10.07681559705083,0.005561156510513703
