power,temperature,humidity,speed
645.5,0.44,0.74,0.38
643.95,0.46,0.68,0.38
436.5,0.51,0.53,0.31
449.89,0.51,0.53,0.38
410.59,0.54,0.45,0.38
463.23,0.54,0.45,0.38
439.67,0.51,0.48,0.23
399.2,0.51,0.48,0.31
382.16,0.51,0.48,0.31
942.76,0.49,0.57,0.38
563.5,0.49,0.53,0.31
463.08,0.49,0.53,0.38
472.46,0.49,0.53,0.31
411.92,0.46,0.62,0.31
245.15,0.46,0.57,0.31
28.1,0.44,0.68,0.31
134.57,0.44,0.68,0.31
226.22,0.41,0.74,0.23
251.21,0.41,0.74,0.23
278.52,0.41,0.79,0.23
466.37,0.41,0.79,0.23
569.1,0.41,0.79,0.23
562.41,0.44,0.74,0.23
722.72,0.41,0.86,0.23
660.56,0.49,0.63,0.38
630.64,0.49,0.63,0.38
436.44,0.51,0.53,0.38
471.61,0.54,0.49,0.38
395.53,0.54,0.49,0.23
454.75,0.54,0.49,0.15
605.29,0.54,0.49,0.31
402.35,0.54,0.45,0.31
392.4,0.51,0.48,0.31
986.25,0.51,0.53,0.31
569.83,0.49,0.53,0.31
435.68,0.49,0.53,0.31
482.91,0.46,0.57,0.38
388.8,0.46,0.57,0.31
238.55,0.46,0.57,0.15
36.75,0.46,0.57,0.15
100.94,0.46,0.57,0.15
213.67,0.44,0.68,0.15
251.21,0.44,0.68,0.15
272.21,0.44,0.68,0.15
479.93,0.41,0.74,0.15
576.99,0.41,0.74,0.08
590.36,0.38,0.74,0.15
786.68,0.38,0.79,0
661.89,0.46,0.68,0.08
638.63,0.49,0.53,0.08
456.41,0.51,0.48,0.15
482.25,0.54,0.41,0.15
372.9,0.56,0.34,0.15
453.42,0.59,0.31,0.15
538.1,0.56,0.34,0.08
383.8,0.56,0.31,0.38
410.47,0.56,0.31,0.15
1059.81,0.54,0.33,0.15
596.46,0.54,0.37,0.23
417.46,0.51,0.45,0.15
466.1,0.51,0.53,0.23
384.05,0.49,0.63,0.31
209.72,0.49,0.63,0.23
81.95,0.46,0.68,0.23
86.88,0.46,0.74,0.31
154.82,0.46,0.74,0.31
228.11,0.44,0.79,0.31
336.84,0.44,0.79,0.31
329.29,0.44,0.79,0.31
351.02,0.41,0.86,0.23
392.99,0.41,0.86,0.31
447.64,0.41,0.86,0.23
468.71,0.44,0.79,0.23
533.58,0.46,0.74,0.38
506.08,0.49,0.68,0.38
520.5,0.51,0.57,0.38
518.77,0.54,0.49,0.38
521.83,0.54,0.49,0.38
492.89,0.54,0.41,0.38
466.15,0.51,0.37,0.38
