power,temperature,humidity,speed
499.17,0.22 ,0.78 ,0.25 
928.82,0.30 ,0.65 ,0.25 
770.72,0.35 ,0.65 ,0.25 
587.87,0.43 ,0.55 ,0.25 
668.89,0.48 ,0.50 ,0.17 
652.91,0.57 ,0.37 ,0.17 
622.96,0.61 ,0.33 ,0.17 
591.01,0.65 ,0.33 ,0.17 
613.07,0.57 ,0.41 ,0.50 
608.99,0.52 ,0.41 ,0.50 
878.54,0.48 ,0.45 ,0.42 
976.46,0.43 ,0.40 ,0.33 
678.87,0.39 ,0.31 ,0.33 
670.88,0.35 ,0.31 ,0.42 
555.07,0.30 ,0.31 ,0.33 
962.4,0.30 ,0.35 ,0.33 
537.18,0.26 ,0.54 ,0.33 
505.16,0.22 ,0.65 ,0.33 
411.31,0.22 ,0.65 ,0.42 
405.32,0.22 ,0.65 ,0.25 
405.32,0.22 ,0.65 ,0.33 
419.36,0.22 ,0.65 ,0.33 
427.29,0.22 ,0.65 ,0.25 
421.3,0.22 ,0.65 ,0.33 
517.14,0.30 ,0.54 ,0.42 
571.12,0.35 ,0.49 ,0.50 
745.26,0.48 ,0.36 ,0.67 
988.35,0.52 ,0.32 ,0.50 
656.99,0.57 ,0.28 ,0.67 
714.81,0.48 ,0.32 ,0.67 
682.86,0.43 ,0.36 ,0.58 
670.75,0.43 ,0.40 ,0.67 
676.87,0.39 ,0.40 ,0.50 
694.84,0.39 ,0.45 ,0.42 
626.96,0.26 ,0.65 ,0.50 
1010.32,0.22 ,0.78 ,0.50 
820.63,0.22 ,0.85 ,0.42 
642.93,0.17 ,0.85 ,0.33 
654.99,0.17 ,0.92 ,0.25 
575.12,0.17 ,0.92 ,0.33 
447.25,0.22 ,0.85 ,0.17 
413.31,0.22 ,0.85 ,0.17 
407.32,0.22 ,0.85 ,0.17 
379.37,0.22 ,0.85 ,0.17 
373.38,0.22 ,0.85 ,0.25 
393.34,0.22 ,0.85 ,0.17 
399.33,0.22 ,0.92 ,0.25 
429.28,0.22 ,0.92 ,0.33 
471.35,0.22 ,0.85 ,0.25 
471.21,0.22 ,0.85 ,0.33 
509.15,0.22 ,0.85 ,0.33 
561.06,0.22 ,0.85 ,0.33 
543.09,0.26 ,0.78 ,0.25 
557.07,0.35 ,0.65 ,0.25 
535.11,0.39 ,0.54 ,0.25 
