power,temperature,humidity,speed
455.2,0.19 ,0.59 ,0.45 
515.41,0.19 ,0.59 ,0.45 
529.5,0.23 ,0.55 ,0.45 
553.36,0.26 ,0.55 ,0.45 
527.24,0.29 ,0.41 ,0.55 
535.19,0.29 ,0.41 ,0.45 
503.73,0.32 ,0.34 ,0.55 
512.91,0.32 ,0.34 ,0.55 
510.05,0.32 ,0.34 ,0.45 
594.35,0.32 ,0.34 ,0.45 
585.71,0.29 ,0.37 ,0.45 
572.68,0.26 ,0.41 ,0.45 
599,0.26 ,0.41 ,0.45 
488.04,0.26 ,0.41 ,0.45 
439.63,0.19 ,0.53 ,0.27 
431.34,0.16 ,0.65 ,0.36 
401.79,0.13 ,0.71 ,0.27 
375.22,0.13 ,0.71 ,0.27 
340.89,0.13 ,0.71 ,0.27 
321.85,0.16 ,0.65 ,0.27 
330.72,0.13 ,0.71 ,0.18 
349.65,0.13 ,0.71 ,0.27 
344.81,0.13 ,0.71 ,0.27 
386.38,0.13 ,0.71 ,0.27 
459.85,0.13 ,0.71 ,0.27 
442.1,0.16 ,0.65 ,0.27 
468.72,0.23 ,0.49 ,0.36 
1494.81,0.26 ,0.41 ,0.45 
577.04,0.32 ,0.27 ,0.45 
526.87,0.35 ,0.23 ,0.36 
532.55,0.35 ,0.21 ,0.45 
488.66,0.39 ,0.13 ,0.36 
494.52,0.39 ,0.15 ,0.45 
503.19,0.35 ,0.17 ,0.36 
545.21,0.32 ,0.17 ,0.45 
571,0.26 ,0.22 ,0.18 
576.11,0.26 ,0.22 ,0.27 
531.11,0.23 ,0.29 ,0.27 
515.74,0.23 ,0.33 ,0.18 
491.87,0.19 ,0.40 ,0.18 
438.46,0.19 ,0.49 ,0.18 
367.98,0.19 ,0.53 ,0.09 
806.3,0.23 ,0.44 ,0.09 
385.2,0.19 ,0.53 ,0.00 
376.52,0.16 ,0.65 ,0.09 
396.11,0.16 ,0.71 ,0.09 
403.15,0.13 ,0.78 ,0.18 
394.81,0.10 ,0.77 ,0.09 
408.84,0.13 ,0.78 ,0.09 
1656.27,0.19 ,0.65 ,0.09 
575.96,0.26 ,0.55 ,0.18 
552.07,0.35 ,0.37 ,0.18 
607.68,0.39 ,0.34 ,0.27 
587.46,0.42 ,0.34 ,0.27 
599.73,0.45 ,0.28 ,0.27 
560.84,0.45 ,0.24 ,0.27 
421.48,0.45 ,0.24 ,0.27 
573.21,0.45 ,0.28 ,0.27 
583.06,0.42 ,0.30 ,0.27 
600.37,0.39 ,0.34 ,0.18 
474.02,0.35 ,0.37 ,0.18 
569.07,0.29 ,0.50 ,0.18 
590.21,0.32 ,0.45 ,0.18 
407.73,0.29 ,0.50 ,0.00 
497.49,0.29 ,0.50 ,0.09 
185.01,0.23 ,0.59 ,0.00 
407.32,0.23 ,0.65 ,0.09 
416.57,0.19 ,0.71 ,0.18 
391.3,0.16 ,0.78 ,0.18 
350.23,0.16 ,0.78 ,0.09 
426.25,0.19 ,0.71 ,0.09 
446.86,0.19 ,0.78 ,0.09 
495.59,0.19 ,0.78 ,0.09 
419.2,0.23 ,0.78 ,0.09 
432.77,0.32 ,0.60 ,0.09 
555.46,0.39 ,0.51 ,0.27 
555.57,0.45 ,0.42 ,0.27 
431.34,0.48 ,0.38 ,0.18 
564.83,0.55 ,0.28 ,0.27 
569.05,0.58 ,0.20 ,0.27 
396.6,0.55 ,0.17 ,0.27 
519.96,0.55 ,0.20 ,0.27 
466.9,0.48 ,0.22 ,0.27 
595.51,0.45 ,0.24 ,0.18 
475.77,0.39 ,0.34 ,0.18 
539.27,0.35 ,0.45 ,0.18 
505.13,0.35 ,0.45 ,0.18 
475.58,0.26 ,0.59 ,0.09 
373.5,0.26 ,0.65 ,0.09 
339.54,0.26 ,0.72 ,0.09 
370.02,0.19 ,0.78 ,0.09 
343.6,0.23 ,0.78 ,0.09 
365.05,0.19 ,0.85 ,0.00 
406.12,0.16 ,0.92 ,0.09 
408.1,0.19 ,0.71 ,0.18 
421.58,0.19 ,0.71 ,0.00 
476.42,0.16 ,0.78 ,0.09 
566.19,0.23 ,0.71 ,0.09 
580.88,0.35 ,0.60 ,0.18 
591.18,0.45 ,0.42 ,0.09 
459.92,0.52 ,0.35 ,0.36 
456.27,0.58 ,0.26 ,0.36 
569.15,0.58 ,0.23 ,0.36 
214.38,0.58 ,0.20 ,0.27 
559.09,0.58 ,0.20 ,0.36 
584.52,0.55 ,0.28 ,0.36 
587.75,0.48 ,0.35 ,0.36 
595.74,0.45 ,0.38 ,0.18 
576.6,0.42 ,0.47 ,0.45 
583.95,0.39 ,0.60 ,0.45 
560.66,0.35 ,0.72 ,0.55 
540.42,0.32 ,0.78 ,0.45 
464.85,0.32 ,0.78 ,0.45 
431.57,0.32 ,0.72 ,0.55 
386.38,0.29 ,0.72 ,0.55 
360.73,0.29 ,0.72 ,0.45 
349.6,0.29 ,0.72 ,0.36 
378.48,0.26 ,0.72 ,0.45 
414.86,0.26 ,0.72 ,0.36 
400.43,0.26 ,0.72 ,0.36 
551.12,0.26 ,0.72 ,0.18 
445.83,0.29 ,0.65 ,0.27 
1179.78,0.32 ,0.55 ,0.36 
624.33,0.35 ,0.56 ,0.36 
492.17,0.39 ,0.47 ,0.36 
1167.82,0.39 ,0.47 ,0.36 
604.35,0.39 ,0.42 ,0.36 
465.56,0.39 ,0.47 ,0.36 
554.97,0.35 ,0.50 ,0.45 
601.3,0.35 ,0.50 ,0.36 
629.52,0.32 ,0.55 ,0.36 
480.99,0.32 ,0.55 ,0.45 
657.12,0.32 ,0.55 ,0.45 
571.03,0.32 ,0.55 ,0.45 
559.64,0.29 ,0.60 ,0.27 
550.76,0.29 ,0.65 ,0.36 
509.16,0.29 ,0.60 ,0.27 
470.42,0.29 ,0.65 ,0.36 
421.33,0.29 ,0.65 ,0.27 
415.22,0.29 ,0.65 ,0.18 
