power,temperature,humidity,speed
758.74,0.05 ,1.00 ,0.38 
812.72,0.10 ,0.90 ,0.46 
660.9,0.14 ,0.81 ,0.31 
682.86,0.19 ,0.73 ,0.46 
690.85,0.19 ,0.73 ,0.54 
834.76,0.19 ,0.73 ,0.54 
912.48,0.19 ,0.73 ,0.46 
786.69,0.24 ,0.65 ,0.54 
664.89,0.24 ,0.65 ,0.38 
810.65,0.19 ,0.73 ,0.31 
972.38,0.19 ,0.81 ,0.31 
950.51,0.14 ,0.90 ,0.31 
814.64,0.14 ,0.81 ,0.23 
720.8,0.14 ,0.90 ,0.31 
806.78,0.14 ,0.90 ,0.23 
931.03,0.14 ,0.90 ,0.15 
698.84,0.14 ,0.90 ,0.15 
525.12,0.14 ,0.90 ,0.15 
477.2,0.14 ,0.90 ,0.15 
469.58,0.14 ,0.90 ,0.23 
463.23,0.14 ,0.90 ,0.23 
445.31,0.14 ,0.90 ,0.23 
593.01,0.14 ,0.90 ,0.23 
790.68,0.14 ,0.90 ,0.31 
852.58,0.14 ,0.90 ,0.23 
595.01,0.19 ,0.81 ,0.31 
545.09,0.24 ,0.81 ,0.31 
816.72,0.24 ,0.73 ,0.31 
904.49,0.33 ,0.65 ,0.31 
882.53,0.29 ,0.73 ,0.31 
850.74,0.29 ,0.73 ,0.38 
806.66,0.29 ,0.73 ,0.31 
826.62,0.33 ,0.65 ,0.38 
868.55,0.33 ,0.65 ,0.38 
906.49,0.29 ,0.73 ,0.38 
912.48,0.29 ,0.73 ,0.23 
814.64,0.29 ,0.73 ,0.23 
680.96,0.29 ,0.65 ,0.31 
658.9,0.29 ,0.65 ,0.31 
750.88,0.24 ,0.81 ,0.31 
790.68,0.24 ,0.73 ,0.31 
758.74,0.24 ,0.73 ,0.31 
738.77,0.24 ,0.81 ,0.23 
722.8,0.24 ,0.81 ,0.15 
710.82,0.24 ,0.81 ,0.15 
746.76,0.24 ,0.81 ,0.23 
767,0.24 ,0.81 ,0.23 
774.71,0.24 ,0.81 ,0.15 
818.64,0.29 ,0.83 ,0.23 
815.88,0.29 ,0.83 ,0.38 
662.9,0.29 ,0.83 ,0.31 
626.96,0.38 ,0.73 ,0.31 
868.55,0.43 ,0.67 ,0.38 
904.57,0.43 ,0.75 ,0.46 
880.7,0.43 ,0.75 ,0.46 
844.59,0.43 ,0.75 ,0.38 
848.59,0.43 ,0.83 ,0.38 
878.54,0.38 ,0.90 ,0.31 
910.48,0.38 ,0.90 ,0.31 
