power,temperature,humidity,speed
758.74,0.56 ,1.00 ,0.38 
812.72,0.59 ,0.93 ,0.46 
660.9,0.62 ,0.86 ,0.31 
682.86,0.64 ,0.80 ,0.46 
690.85,0.64 ,0.80 ,0.54 
834.76,0.64 ,0.80 ,0.54 
912.48,0.64 ,0.80 ,0.46 
786.69,0.67 ,0.75 ,0.54 
664.89,0.67 ,0.75 ,0.38 
810.65,0.64 ,0.80 ,0.31 
972.38,0.64 ,0.86 ,0.31 
950.51,0.62 ,0.93 ,0.31 
814.64,0.62 ,0.86 ,0.23 
720.8,0.62 ,0.93 ,0.31 
806.78,0.62 ,0.93 ,0.23 
931.03,0.62 ,0.93 ,0.15 
698.84,0.62 ,0.93 ,0.15 
525.12,0.62 ,0.93 ,0.15 
477.2,0.62 ,0.93 ,0.15 
469.58,0.62 ,0.93 ,0.23 
463.23,0.62 ,0.93 ,0.23 
445.31,0.62 ,0.93 ,0.23 
593.01,0.62 ,0.93 ,0.23 
790.68,0.62 ,0.93 ,0.31 
852.58,0.62 ,0.93 ,0.23 
595.01,0.64 ,0.86 ,0.31 
545.09,0.67 ,0.86 ,0.31 
816.72,0.67 ,0.80 ,0.31 
904.49,0.72 ,0.75 ,0.31 
882.53,0.69 ,0.80 ,0.31 
850.74,0.69 ,0.80 ,0.38 
806.66,0.69 ,0.80 ,0.31 
826.62,0.72 ,0.75 ,0.38 
868.55,0.72 ,0.75 ,0.38 
906.49,0.69 ,0.80 ,0.38 
912.48,0.69 ,0.80 ,0.23 
814.64,0.69 ,0.80 ,0.23 
680.96,0.69 ,0.75 ,0.31 
658.9,0.69 ,0.75 ,0.31 
750.88,0.67 ,0.86 ,0.31 
790.68,0.67 ,0.80 ,0.31 
758.74,0.67 ,0.80 ,0.31 
738.77,0.67 ,0.86 ,0.23 
722.8,0.67 ,0.86 ,0.15 
710.82,0.67 ,0.86 ,0.15 
746.76,0.67 ,0.86 ,0.23 
767,0.67 ,0.86 ,0.23 
774.71,0.67 ,0.86 ,0.15 
818.64,0.69 ,0.87 ,0.23 
815.88,0.69 ,0.87 ,0.38 
662.9,0.69 ,0.87 ,0.31 
626.96,0.74 ,0.80 ,0.31 
868.55,0.77 ,0.76 ,0.38 
904.57,0.77 ,0.82 ,0.46 
880.7,0.77 ,0.82 ,0.46 
844.59,0.77 ,0.82 ,0.38 
848.59,0.77 ,0.87 ,0.38 
878.54,0.74 ,0.93 ,0.31 
910.48,0.74 ,0.93 ,0.31 
918.47,0.72 ,1.00 ,0.31 
904.49,0.72 ,0.93 ,0.31 
902.5,0.72 ,0.93 ,0.31 
882.62,0.72 ,0.93 ,0.31 
830.76,0.72 ,0.93 ,0.31 
792.68,0.69 ,1.00 ,0.31 
716.81,0.69 ,1.00 ,0.31 
485.19,0.69 ,0.93 ,0.31 
419.3,0.69 ,0.93 ,0.38 
435.27,0.69 ,0.93 ,0.31 
724.79,0.69 ,0.93 ,0.46 
742.76,0.69 ,0.87 ,0.38 
790.9,0.69 ,0.87 ,0.38 
832.61,0.72 ,0.87 ,0.38 
846.59,0.74 ,0.80 ,0.46 
894.51,0.79 ,0.70 ,0.54 
910.48,0.82 ,0.70 ,0.62 
953.93,0.85 ,0.66 ,0.54 
926.63,0.85 ,0.66 ,0.69 
926.46,0.85 ,0.66 ,0.69 
882.53,0.85 ,0.66 ,0.69 
871.45,0.82 ,0.66 ,0.69 
894.51,0.77 ,0.76 ,0.69 
922.46,0.77 ,0.76 ,0.62 
908.49,0.77 ,0.76 ,0.62 
930.45,0.74 ,0.80 ,0.69 
914.48,0.72 ,0.87 ,0.69 
906.74,0.72 ,0.87 ,0.62 
860.57,0.72 ,0.87 ,0.69 
814.64,0.72 ,0.87 ,0.69 
800.67,0.72 ,0.87 ,0.77 
744.76,0.72 ,0.87 ,0.92 
752.75,0.72 ,0.87 ,0.92 
736.77,0.69 ,0.93 ,0.85 
740.77,0.69 ,0.93 ,0.85 
784.91,0.69 ,0.93 ,0.77 
770.72,0.69 ,0.93 ,0.77 
830.62,0.69 ,0.93 ,0.85 
874.54,0.69 ,0.93 ,0.85 
920.47,0.69 ,0.93 ,0.77 
960.4,0.72 ,0.87 ,0.85 
974.38,0.69 ,0.93 ,1.00 
958.4,0.69 ,0.93 ,0.85 
944.69,0.69 ,0.93 ,0.92 
878.54,0.69 ,0.93 ,0.92 
892.51,0.69 ,0.93 ,0.85 
958.4,0.69 ,0.93 ,0.77 
986.36,0.69 ,0.93 ,0.77 
1001.96,0.69 ,0.93 ,0.77 
980.55,0.69 ,0.93 ,0.69 
958.4,0.69 ,0.93 ,0.69 
924,0.67 ,1.00 ,0.62 
852.58,0.67 ,1.00 ,0.54 
810.65,0.67 ,1.00 ,0.62 
644.93,0.67 ,1.00 ,0.54 
487.19,0.67 ,1.00 ,0.69 
487.19,0.69 ,0.93 ,0.62 
675.06,0.69 ,0.93 ,0.54 
690.85,0.69 ,0.93 ,0.54 
569.05,0.69 ,0.93 ,0.54 
764.73,0.69 ,0.93 ,0.54 
818.64,0.69 ,0.93 ,0.54 
832.61,0.69 ,0.93 ,0.62 
870.55,0.69 ,0.93 ,0.54 
868.55,0.69 ,0.93 ,0.54 
896.75,0.69 ,0.93 ,0.54 
862.56,0.74 ,0.80 ,0.46 
856.57,0.74 ,0.75 ,0.69 
812.65,0.79 ,0.66 ,0.62 
806.66,0.82 ,0.61 ,0.54 
870.55,0.85 ,0.56 ,0.62 
888.52,0.85 ,0.56 ,0.54 
908.49,0.85 ,0.56 ,0.46 
924.72,0.79 ,0.70 ,0.31 
916.47,0.77 ,0.76 ,0.23 
898.5,0.74 ,0.80 ,0.23 
840.6,0.74 ,0.80 ,0.23 
834.61,0.74 ,0.80 ,0.23 
790.68,0.72 ,0.87 ,0.15 
780.18,0.72 ,0.87 ,0.15 
740.77,0.72 ,0.87 ,0.08 
740.83,0.72 ,0.87 ,0.23 
749.47,0.72 ,0.87 ,0.31 
