reality,predict,mape,accurary
928.45,940.6257324,0.01,0.99
906.49,970.4103394,0.07,0.93
914.67,955.4682007,0.04,0.96
990.35,940.6257324,0.05,0.95
998.34,940.6257324,0.06,0.94
1034.28,955.4682007,0.08,0.92
1128.12,961.2321777,0.15,0.85
1198,1016.462158,0.15,0.85
1214.06,1047.710938,0.14,0.86
1245.92,1096.552979,0.12,0.88
1211.98,1128.9729,0.07,0.93
1206.24,1127.183716,0.07,0.93
1152.08,1145.587891,0.01,0.99
1122.13,1145.587891,0.02,0.98
1194.01,1063.515869,0.11,0.89
1219.97,1031.969238,0.15,0.85
1227.95,1016.462158,0.17,0.83
1220.05,991.5211792,0.19,0.81
993.74,985.4516602,0.01,0.99
928.45,998.6950073,0.08,0.92
834.61,985.4516602,0.18,0.82
793.6,970.4103394,0.22,0.78
770.72,985.4516602,0.28,0.72
764.79,970.4103394,0.27,0.73
742.76,985.4516602,0.33,0.67
734.92,925.3042603,0.26,0.74
768.72,970.4103394,0.26,0.74
776.71,925.3042603,0.19,0.81
1038.27,970.4103394,0.07,0.93
1064.23,970.4103394,0.09,0.91
1074.21,985.4516602,0.08,0.92
1094.18,1031.969238,0.06,0.94
1160.14,1031.969238,0.11,0.89
1207.99,976.3262329,0.19,0.81
1192.27,1047.710938,0.12,0.88
1200,1077.444336,0.1,0.9
1124.13,1077.444336,0.04,0.96
1090.18,1047.710938,0.04,0.96
1136.11,1031.969238,0.09,0.91
1237.94,1031.969238,0.17,0.83
1205.99,964.5245361,0.2,0.8
1204.08,949.737854,0.21,0.79
1154.08,970.4103394,0.16,0.84
992.54,955.4682007,0.04,0.96
858.57,955.4682007,0.11,0.89
846.59,970.4103394,0.15,0.85
798.67,940.6257324,0.18,0.82
784.69,910.8167725,0.16,0.84
782.44,925.3042603,0.18,0.82
772.87,910.8167725,0.18,0.82
758.8,896.4302368,0.18,0.82
874.54,882.4631348,0.01,0.99
1002.94,915.4112549,0.09,0.91
1002.33,915.4112549,0.09,0.91
1096.17,910.8167725,0.17,0.83
1138.1,970.4103394,0.15,0.85
1202.08,1031.969238,0.14,0.86
1229.95,952.7307739,0.23,0.77
1242.18,944.7335815,0.24,0.76
1202,944.7335815,0.21,0.79
1138.1,910.9801025,0.2,0.8
1160.07,910.9801025,0.21,0.79
1164.06,896.6725464,0.23,0.77
1215.97,930.0231934,0.24,0.76
1209.98,944.7335815,0.22,0.78
1178.13,915.4112549,0.22,0.78
1078.41,939.8890991,0.13,0.87
900.5,939.8890991,0.04,0.96
824.63,925.3042603,0.12,0.88
790.68,896.6725464,0.13,0.87
794.68,925.3042603,0.16,0.84
760.73,939.8890991,0.24,0.76
746.76,934.0952759,0.25,0.75
722.8,934.0952759,0.29,0.71
748.81,919.6625366,0.23,0.77
784.85,905.3278198,0.15,0.85
958.4,813.7562866,0.15,0.85
946.42,834.6328735,0.12,0.88
1008.32,794.4765625,0.21,0.79
1052.49,807.7692261,0.23,0.77
1164.06,847.8508911,0.27,0.73
1176.28,900.6774292,0.23,0.77
1162.33,975.3997192,0.16,0.84
1144.09,1022.536682,0.11,0.89
1094.18,1030.659912,0.06,0.94
1016.31,992.1541748,0.02,0.98
1014.31,978.206543,0.04,0.96
1058.24,910.3292847,0.14,0.86
942.43,895.1021118,0.05,0.95
908.65,837.4537964,0.08,0.92
902.58,793.0808716,0.12,0.88
902.5,824.1139526,0.09,0.91
856.57,797.1367798,0.07,0.93
804.66,780.2019043,0.03,0.97
786.69,784.1430054,0,1
742.76,784.1430054,0.06,0.94
738.77,784.1430054,0.06,0.94
722.93,784.1430054,0.08,0.92
736.84,744.3301392,0.01,0.99
794.68,733.375061,0.08,0.92
902.5,733.375061,0.19,0.81
986.36,772.8457642,0.22,0.78
1042.26,810.8621216,0.22,0.78
1072.21,853.7221069,0.2,0.8
1130.12,870.0941162,0.23,0.77
1136.34,922.1843872,0.19,0.81
942.43,998.6472168,0.06,0.94
926.54,1034.147705,0.12,0.88
890.52,985.4926758,0.11,0.89
896.51,1021.610413,0.14,0.86
907.17,985.4926758,0.09,0.91
1042.46,985.4926758,0.05,0.95
1132.11,909.7317505,0.2,0.8
936.52,895.5859375,0.04,0.96
962.49,873.5290527,0.09,0.91
934.44,859.62323,0.08,0.92
868.55,833.1466675,0.04,0.96
836.61,833.1466675,0,1
790.68,790.1202393,0,1
746.76,790.1202393,0.06,0.94
756.88,777.0115356,0.03,0.97
748.75,752.3588257,0,1
750.82,752.3588257,0,1
778.7,752.3588257,0.03,0.97
826.62,742.7041626,0.1,0.9
838.6,819.5653687,0.02,0.98
1110.15,885.7653809,0.2,0.8
1176.04,885.7653809,0.25,0.75
1170.29,955.7022705,0.18,0.82
1205.99,955.7022705,0.21,0.79
1204.08,986.1520386,0.18,0.82
1126.12,983.3552856,0.13,0.87
1020.3,996.6264038,0.02,0.98
1030.28,926.7644653,0.1,0.9
926.46,959.3322754,0.04,0.96
960.4,899.9384155,0.06,0.94
936.44,909.7317505,0.03,0.97
980.54,865.8191528,0.12,0.88
922.55,870.0941162,0.06,0.94
896.51,841.807312,0.06,0.94
862.72,828.2752075,0.04,0.96
794.68,773.2583618,0.03,0.97
764.73,773.2583618,0.01,0.99
736.58,777.0115356,0.05,0.95
716.87,786.2528687,0.1,0.9
728.79,773.2583618,0.06,0.94
716.81,747.274231,0.04,0.96
818.64,747.274231,0.09,0.91
924.46,773.2583618,0.16,0.84
958.4,773.2583618,0.19,0.81
1024.29,859.62323,0.16,0.84
1080.2,926.4024048,0.14,0.86
1174.28,922.8649292,0.21,0.79
1130.2,982.6098633,0.13,0.87
1140.1,1043.668701,0.08,0.92
1094.18,1085.355713,0.01,0.99
