power,temperature,humidity,speed,,
425.38 ,0.58 ,0.86 ,0.25 ,,
405.32 ,0.58 ,0.93 ,0.17 ,,
437.34 ,0.58 ,0.86 ,0.25 ,,
679.27 ,0.58 ,0.93 ,0.25 ,,
787.72 ,0.58 ,0.93 ,0.25 ,,
509.40 ,0.58 ,0.93 ,0.33 ,,
517.09 ,0.58 ,0.93 ,0.33 ,,
560.38 ,0.60 ,0.86 ,0.33 ,,
911.80 ,0.60 ,0.80 ,0.33 ,,
965.95 ,0.60 ,0.86 ,0.33 ,,
927.69 ,0.60 ,0.86 ,0.33 ,,
911.90 ,0.63 ,0.80 ,0.25 ,,
873.47 ,0.63 ,0.80 ,0.33 ,,
751.56 ,0.63 ,0.80 ,0.17 ,,
554.00 ,0.63 ,0.80 ,0.25 ,,
495.25 ,0.63 ,0.80 ,0.17 ,,
725.91 ,0.60 ,0.86 ,0.33 ,,
879.64 ,0.60 ,0.86 ,0.25 ,,
780.18 ,0.60 ,0.86 ,0.25 ,,
822.11 ,0.60 ,0.86 ,0.08 ,,
748.96 ,0.60 ,0.86 ,0.17 ,,
690.85 ,0.60 ,0.86 ,0.17 ,,
439.27 ,0.60 ,0.86 ,0.25 ,,
419.30 ,0.60 ,0.86 ,0.17 ,,
395.39 ,0.60 ,0.86 ,0.17 ,,
387.35 ,0.60 ,0.86 ,0.17 ,,
409.38 ,0.60 ,0.86 ,0.17 ,,
407.32 ,0.60 ,0.86 ,0.17 ,,
746.53 ,0.60 ,0.93 ,0.17 ,,
779.73 ,0.60 ,0.86 ,0.17 ,,
555.76 ,0.60 ,0.93 ,0.25 ,,
525.49 ,0.63 ,0.80 ,0.25 ,,
565.42 ,0.65 ,0.75 ,0.25 ,,
619.58 ,0.65 ,0.75 ,0.25 ,,
940.92 ,0.70 ,0.64 ,0.25 ,,
899.11 ,0.68 ,0.69 ,0.33 ,,
828.91 ,0.70 ,0.60 ,0.17 ,,
814.62 ,0.70 ,0.55 ,0.33 ,,
838.65 ,0.70 ,0.60 ,0.25 ,,
914.74 ,0.68 ,0.64 ,0.42 ,,
629.32 ,0.68 ,0.64 ,0.25 ,,
580.13 ,0.65 ,0.69 ,0.17 ,,
594.84 ,0.65 ,0.69 ,0.17 ,,
554.87 ,0.65 ,0.69 ,0.17 ,,
693.52 ,0.65 ,0.69 ,0.08 ,,
834.33 ,0.63 ,0.75 ,0.17 ,,
618.04 ,0.65 ,0.75 ,0.17 ,,
416.23 ,0.65 ,0.75 ,0.00 ,,
410.31 ,0.65 ,0.75 ,0.00 ,,
398.33 ,0.65 ,0.75 ,0.17 ,,
427.13 ,0.63 ,0.80 ,0.08 ,,
535.11 ,0.63 ,0.80 ,0.17 ,,
870.55 ,0.65 ,0.80 ,0.17 ,,
762.14 ,0.68 ,0.75 ,0.00 ,,
786.10 ,0.70 ,0.70 ,0.25 ,,
856.24 ,0.73 ,0.64 ,0.17 ,,
868.85 ,0.75 ,0.55 ,0.17 ,,
892.69 ,0.80 ,0.48 ,0.33 ,,
884.53 ,0.78 ,0.47 ,0.25 ,,
886.52 ,0.75 ,0.55 ,0.33 ,,
884.82 ,0.75 ,0.55 ,0.25 ,,
976.37 ,0.73 ,0.64 ,0.33 ,,
972.38 ,0.73 ,0.64 ,0.33 ,,
999.24 ,0.73 ,0.64 ,0.33 ,,
959.64 ,0.73 ,0.60 ,0.25 ,,
1012.18 ,0.70 ,0.64 ,0.25 ,,
980.43 ,0.70 ,0.64 ,0.25 ,,
903.31 ,0.70 ,0.64 ,0.25 ,,
612.85 ,0.70 ,0.64 ,0.25 ,,
525.49 ,0.70 ,0.64 ,0.17 ,,
682.28 ,0.70 ,0.64 ,0.25 ,,
824.77 ,0.68 ,0.69 ,0.17 ,,
452.70 ,0.68 ,0.75 ,0.25 ,,
435.05 ,0.68 ,0.75 ,0.17 ,,
443.10 ,0.68 ,0.75 ,0.17 ,,
523.29 ,0.68 ,0.75 ,0.17 ,,
883.56 ,0.68 ,0.75 ,0.17 ,,
870.14 ,0.70 ,0.75 ,0.25 ,,
895.29 ,0.73 ,0.64 ,0.25 ,,
950.46 ,0.78 ,0.61 ,0.25 ,,
967.48 ,0.80 ,0.52 ,0.17 ,,
1003.53 ,0.85 ,0.48 ,0.17 ,,
984.36 ,0.85 ,0.48 ,0.17 ,,
982.36 ,0.85 ,0.45 ,0.17 ,,
942.43 ,0.85 ,0.45 ,0.25 ,,
583.03 ,0.83 ,0.52 ,0.25 ,,
714.03 ,0.83 ,0.56 ,0.33 ,,
1032.28 ,0.80 ,0.61 ,0.33 ,,
1070.61 ,0.78 ,0.61 ,0.33 ,,
993.04 ,0.75 ,0.66 ,0.33 ,,
970.38 ,0.73 ,0.70 ,0.42 ,,
976.37 ,0.73 ,0.70 ,0.33 ,,
948.42 ,0.73 ,0.70 ,0.42 ,,
878.54 ,0.70 ,0.80 ,0.33 ,,
712.88 ,0.70 ,0.80 ,0.42 ,,
469.22 ,0.70 ,0.80 ,0.33 ,,
415.71 ,0.70 ,0.75 ,0.33 ,,
398.11 ,0.70 ,0.75 ,0.25 ,,
655.31 ,0.70 ,0.80 ,0.25 ,,
907.88 ,0.70 ,0.80 ,0.25 ,,
855.41 ,0.70 ,0.80 ,0.17 ,,
901.65 ,0.73 ,0.80 ,0.25 ,,
962.60 ,0.78 ,0.70 ,0.33 ,,
1004.55 ,0.83 ,0.56 ,0.25 ,,
1032.09 ,0.88 ,0.53 ,0.42 ,,
1051.01 ,0.90 ,0.48 ,0.25 ,,
1053.11 ,0.93 ,0.38 ,0.33 ,,
1046.50 ,0.98 ,0.32 ,0.25 ,,
1009.38 ,0.95 ,0.36 ,0.33 ,,
1017.71 ,0.95 ,0.36 ,0.25 ,,
994.91 ,0.93 ,0.45 ,0.33 ,,
1027.28 ,0.83 ,0.48 ,0.58 ,,
1013.64 ,0.83 ,0.56 ,0.08 ,,
976.37 ,0.83 ,0.56 ,0.17 ,,
940.43 ,0.80 ,0.66 ,0.42 ,,
1002.60 ,0.78 ,0.70 ,0.33 ,,
950.05 ,0.78 ,0.70 ,0.33 ,,
782.74 ,0.75 ,0.82 ,0.25 ,,
431.68 ,0.75 ,0.76 ,0.17 ,,
453.24 ,0.75 ,0.76 ,0.17 ,,
421.30 ,0.75 ,0.76 ,0.17 ,,
436.59 ,0.75 ,0.76 ,0.17 ,,
414.56 ,0.75 ,0.76 ,0.08 ,,
773.49 ,0.73 ,0.80 ,0.17 ,,
891.61 ,0.73 ,0.80 ,0.17 ,,
896.24 ,0.75 ,0.76 ,0.17 ,,
945.42 ,0.78 ,0.70 ,0.17 ,,
969.31 ,0.80 ,0.66 ,0.17 ,,
1002.33 ,0.83 ,0.61 ,0.17 ,,
1032.28 ,0.88 ,0.48 ,0.17 ,,
1020.51 ,0.90 ,0.48 ,0.17 ,,
1026.29 ,0.88 ,0.56 ,0.33 ,,
996.34 ,0.88 ,0.53 ,0.33 ,,
996.34 ,0.83 ,0.61 ,0.58 ,,
994.34 ,0.80 ,0.70 ,0.25 ,,
1028.37 ,0.73 ,0.87 ,0.17 ,,
1016.31 ,0.73 ,0.87 ,0.33 ,,
1059.26 ,0.70 ,0.80 ,0.33 ,,
982.36 ,0.70 ,0.87 ,0.08 ,,
1030.48 ,0.73 ,0.80 ,0.17 ,,
992.35 ,0.70 ,0.87 ,0.17 ,,
716.81 ,0.70 ,0.93 ,0.25 ,,
745.14 ,0.75 ,0.76 ,0.25 ,,
473.21 ,0.73 ,0.87 ,0.17 ,,
483.19 ,0.73 ,0.87 ,0.17 ,,
441.33 ,0.73 ,0.87 ,0.17 ,,
471.21 ,0.73 ,0.87 ,0.08 ,,
676.87 ,0.73 ,0.87 ,0.17 ,,
926.46 ,0.73 ,0.87 ,0.25 ,,
972.38 ,0.75 ,0.82 ,0.25 ,,
962.40 ,0.78 ,0.76 ,0.25 ,,
1020.38 ,0.80 ,0.70 ,0.25 ,,
998.34 ,0.83 ,0.61 ,0.33 ,,
1028.29 ,0.88 ,0.53 ,0.42 ,,
1028.50 ,0.88 ,0.48 ,0.42 ,,
1020.30 ,0.88 ,0.45 ,0.42 ,,
992.35 ,0.88 ,0.45 ,0.42 ,,
970.38 ,0.88 ,0.45 ,0.33 ,,
988.35 ,0.85 ,0.52 ,0.33 ,,
1076.21 ,0.85 ,0.52 ,0.33 ,,
1080.28 ,0.83 ,0.56 ,0.33 ,,
1044.26 ,0.80 ,0.61 ,0.42 ,,
1010.32 ,0.80 ,0.61 ,0.33 ,,
1054.45 ,0.78 ,0.66 ,0.33 ,,
998.34 ,0.78 ,0.70 ,0.42 ,,
770.72 ,0.78 ,0.70 ,0.42 ,,
569.05 ,0.75 ,0.76 ,0.42 ,,
868.55 ,0.75 ,0.76 ,0.33 ,,
805.44 ,0.75 ,0.76 ,0.33 ,,
782.70 ,0.75 ,0.76 ,0.33 ,,
784.69 ,0.75 ,0.76 ,0.25 ,,
806.66 ,0.73 ,0.80 ,0.08 ,,
840.77 ,0.73 ,0.80 ,0.08 ,,
900.02 ,0.75 ,0.82 ,0.25 ,,
954.41 ,0.80 ,0.70 ,0.33 ,,
992.35 ,0.85 ,0.61 ,0.25 ,,
1010.39 ,0.88 ,0.56 ,0.25 ,,
1012.31 ,0.88 ,0.56 ,0.17 ,,
1016.31 ,0.90 ,0.57 ,0.17 ,,
1024.51 ,0.93 ,0.49 ,0.25 ,,
1026.29 ,0.93 ,0.49 ,0.25 ,,
966.39 ,0.85 ,0.56 ,0.33 ,,
804.66 ,0.83 ,0.52 ,0.75 ,,
860.57 ,0.65 ,0.93 ,0.75 ,,
918.47 ,0.68 ,0.93 ,0.17 ,,
900.57 ,0.68 ,0.87 ,0.17 ,,
571.05 ,0.68 ,0.87 ,0.17 ,,
583.03 ,0.68 ,0.87 ,0.00 ,,
916.66 ,0.70 ,0.87 ,0.42 ,,
888.52 ,0.70 ,0.87 ,0.50 ,,
726.79 ,0.68 ,0.87 ,0.42 ,,
465.22 ,0.68 ,0.87 ,0.33 ,,
417.30 ,0.68 ,0.87 ,0.17 ,,
369.38 ,0.68 ,0.87 ,0.08 ,,
411.38 ,0.68 ,0.87 ,0.25 ,,
539.10 ,0.68 ,0.87 ,0.17 ,,
878.54 ,0.68 ,0.87 ,0.17 ,,
966.59 ,0.70 ,0.80 ,0.00 ,,
1012.61 ,0.75 ,0.76 ,0.17 ,,
1052.25 ,0.78 ,0.70 ,0.17 ,,
1072.28 ,0.85 ,0.56 ,0.08 ,,
1108.15 ,0.85 ,0.56 ,0.17 ,,
1082.20 ,0.88 ,0.53 ,0.17 ,,
749.97 ,0.90 ,0.45 ,0.08 ,,
760.87 ,0.88 ,0.45 ,0.25 ,,
746.76 ,0.88 ,0.53 ,0.33 ,,
1056.24 ,0.85 ,0.48 ,0.33 ,,
1022.30 ,0.83 ,0.61 ,0.42 ,,
1006.40 ,0.80 ,0.61 ,0.33 ,,
1004.33 ,0.80 ,0.56 ,0.33 ,,
936.44 ,0.78 ,0.61 ,0.42 ,,
894.51 ,0.78 ,0.61 ,0.25 ,,
866.56 ,0.75 ,0.70 ,0.17 ,,
818.80 ,0.75 ,0.70 ,0.08 ,,
525.12 ,0.75 ,0.70 ,0.08 ,,
435.27 ,0.73 ,0.80 ,0.25 ,,
443.32 ,0.70 ,0.87 ,0.33 ,,
435.27 ,0.70 ,0.87 ,0.25 ,,
461.23 ,0.70 ,0.87 ,0.25 ,,
800.67 ,0.70 ,0.80 ,0.25 ,,
880.53 ,0.70 ,0.80 ,0.25 ,,
892.70 ,0.70 ,0.80 ,0.33 ,,
872.55 ,0.73 ,0.75 ,0.42 ,,
872.55 ,0.78 ,0.61 ,0.50 ,,
918.54 ,0.80 ,0.52 ,0.50 ,,
930.45 ,0.80 ,0.52 ,0.42 ,,
920.47 ,0.85 ,0.45 ,0.42 ,,
950.42 ,0.83 ,0.48 ,0.42 ,,
932.45 ,0.85 ,0.41 ,0.33 ,,
986.96 ,0.85 ,0.45 ,0.42 ,,
1046.47 ,0.83 ,0.44 ,0.50 ,,
1034.35 ,0.80 ,0.48 ,0.42 ,,
1056.24 ,0.78 ,0.56 ,0.50 ,,
1032.28 ,0.75 ,0.60 ,0.50 ,,
1059.64 ,0.73 ,0.64 ,0.50 ,,
1002.33 ,0.73 ,0.64 ,0.42 ,,
942.43 ,0.70 ,0.70 ,0.33 ,,
822.79 ,0.70 ,0.70 ,0.33 ,,
700.83 ,0.70 ,0.70 ,0.42 ,,
421.35 ,0.70 ,0.70 ,0.33 ,,
443.26 ,0.68 ,0.75 ,0.25 ,,
437.27 ,0.65 ,0.80 ,0.25 ,,
445.26 ,0.65 ,0.80 ,0.17 ,,
782.70 ,0.68 ,0.75 ,0.25 ,,
904.49 ,0.65 ,0.80 ,0.25 ,,
894.51 ,0.70 ,0.75 ,0.25 ,,
938.63 ,0.73 ,0.64 ,0.17 ,,
956.41 ,0.78 ,0.52 ,0.25 ,,
976.45 ,0.80 ,0.44 ,0.25 ,,
952.41 ,0.85 ,0.23 ,0.33 ,,
942.43 ,0.85 ,0.16 ,0.42 ,,
942.43 ,0.85 ,0.21 ,0.33 ,,
950.42 ,0.85 ,0.25 ,0.42 ,,
898.50 ,0.85 ,0.16 ,0.42 ,,
932.45 ,0.85 ,0.14 ,0.42 ,,
952.41 ,0.83 ,0.21 ,0.50 ,,
986.55 ,0.78 ,0.25 ,0.42 ,,
974.46 ,0.75 ,0.37 ,0.42 ,,
974.38 ,0.73 ,0.47 ,0.33 ,,
928.45 ,0.73 ,0.47 ,0.25 ,,
852.87 ,0.73 ,0.47 ,0.25 ,,
804.66 ,0.73 ,0.44 ,0.08 ,,
455.24 ,0.70 ,0.47 ,0.17 ,,
443.32 ,0.70 ,0.47 ,0.17 ,,
365.39 ,0.68 ,0.55 ,0.17 ,,
365.85 ,0.65 ,0.64 ,0.17 ,,
389.35 ,0.65 ,0.64 ,0.17 ,,
379.37 ,0.65 ,0.64 ,0.17 ,,
547.09 ,0.68 ,0.60 ,0.25 ,,
932.45 ,0.70 ,0.55 ,0.33 ,,
942.43 ,0.73 ,0.47 ,0.42 ,,
924.46 ,0.75 ,0.40 ,0.42 ,,
946.69 ,0.78 ,0.40 ,0.25 ,,
958.40 ,0.80 ,0.33 ,0.42 ,,
942.43 ,0.80 ,0.31 ,0.42 ,,
614.98 ,0.83 ,0.31 ,0.50 ,,
559.07 ,0.80 ,0.37 ,0.50 ,,
708.82 ,0.80 ,0.33 ,0.50 ,,
968.39 ,0.78 ,0.37 ,0.50 ,,
976.37 ,0.78 ,0.33 ,0.58 ,,
940.43 ,0.75 ,0.47 ,0.50 ,,
954.67 ,0.73 ,0.55 ,0.50 ,,
876.54 ,0.73 ,0.60 ,0.50 ,,
746.76 ,0.73 ,0.47 ,0.58 ,,
539.10 ,0.73 ,0.44 ,0.50 ,,
668.89 ,0.70 ,0.55 ,0.50 ,,
752.75 ,0.70 ,0.60 ,0.33 ,,
431.28 ,0.70 ,0.60 ,0.25 ,,
461.23 ,0.70 ,0.60 ,0.33 ,,
439.34 ,0.70 ,0.60 ,0.42 ,,
522.96 ,0.70 ,0.60 ,0.33 ,,
858.57 ,0.68 ,0.64 ,0.33 ,,
808.65 ,0.70 ,0.60 ,0.42 ,,
838.60 ,0.70 ,0.60 ,0.42 ,,
908.49 ,0.73 ,0.55 ,0.42 ,,
907.27 ,0.78 ,0.44 ,0.50 ,,
928.64 ,0.78 ,0.44 ,0.42 ,,
940.51 ,0.78 ,0.44 ,0.42 ,,
920.47 ,0.80 ,0.40 ,0.42 ,,
918.47 ,0.80 ,0.37 ,0.42 ,,
904.49 ,0.80 ,0.37 ,0.50 ,,
898.50 ,0.80 ,0.37 ,0.33 ,,
882.53 ,0.80 ,0.37 ,0.33 ,,
934.44 ,0.80 ,0.37 ,0.33 ,,
929.05 ,0.78 ,0.44 ,0.42 ,,
887.62 ,0.75 ,0.55 ,0.42 ,,
664.96 ,0.73 ,0.64 ,0.42 ,,
559.07 ,0.73 ,0.64 ,0.50 ,,
882.53 ,0.70 ,0.64 ,0.42 ,,
746.76 ,0.70 ,0.64 ,0.42 ,,
447.25 ,0.70 ,0.60 ,0.42 ,,
413.31 ,0.70 ,0.55 ,0.33 ,,
427.29 ,0.70 ,0.55 ,0.17 ,,
411.31 ,0.70 ,0.55 ,0.17 ,,
405.44 ,0.70 ,0.64 ,0.25 ,,
521.13 ,0.70 ,0.70 ,0.17 ,,
868.55 ,0.70 ,0.70 ,0.17 ,,
858.57 ,0.70 ,0.75 ,0.33 ,,
874.54 ,0.75 ,0.66 ,0.42 ,,
860.57 ,0.78 ,0.61 ,0.42 ,,
581.03 ,0.78 ,0.61 ,0.42 ,,
880.26 ,0.78 ,0.61 ,0.33 ,,
896.51 ,0.80 ,0.56 ,0.42 ,,
836.78 ,0.80 ,0.56 ,0.33 ,,
513.14 ,0.83 ,0.48 ,0.33 ,,
862.56 ,0.83 ,0.48 ,0.42 ,,
1024.96 ,0.83 ,0.44 ,0.50 ,,
1064.23 ,0.80 ,0.52 ,0.50 ,,
1004.40 ,0.78 ,0.61 ,0.42 ,,
982.56 ,0.75 ,0.66 ,0.42 ,,
956.41 ,0.73 ,0.70 ,0.33 ,,
936.44 ,0.73 ,0.70 ,0.42 ,,
922.46 ,0.73 ,0.70 ,0.33 ,,
788.69 ,0.70 ,0.75 ,0.33 ,,
674.88 ,0.70 ,0.75 ,0.25 ,,
453.24 ,0.70 ,0.75 ,0.25 ,,
423.29 ,0.70 ,0.75 ,0.25 ,,
437.33 ,0.70 ,0.75 ,0.17 ,,
433.35 ,0.68 ,0.75 ,0.17 ,,
628.95 ,0.68 ,0.80 ,0.25 ,,
922.46 ,0.68 ,0.80 ,0.25 ,,
916.47 ,0.73 ,0.75 ,0.33 ,,
902.50 ,0.75 ,0.70 ,0.33 ,,
912.48 ,0.80 ,0.61 ,0.33 ,,
926.46 ,0.80 ,0.56 ,0.42 ,,
948.42 ,0.83 ,0.52 ,0.42 ,,
926.52 ,0.83 ,0.52 ,0.42 ,,
950.61 ,0.83 ,0.52 ,0.42 ,,
948.42 ,0.85 ,0.48 ,0.50 ,,
936.44 ,0.83 ,0.52 ,0.58 ,,
942.43 ,0.80 ,0.56 ,0.50 ,,
1030.28 ,0.80 ,0.56 ,0.50 ,,
1017.30 ,0.78 ,0.61 ,0.42 ,,
1012.31 ,0.75 ,0.66 ,0.33 ,,
992.35 ,0.75 ,0.66 ,0.50 ,,
948.42 ,0.73 ,0.70 ,0.42 ,,
859.43 ,0.73 ,0.70 ,0.33 ,,
487.19 ,0.73 ,0.70 ,0.42 ,,
571.05 ,0.73 ,0.75 ,0.42 ,,
860.57 ,0.73 ,0.70 ,0.33 ,,
828.67 ,0.70 ,0.75 ,0.25 ,,
782.70 ,0.70 ,0.80 ,0.33 ,,
766.88 ,0.73 ,0.75 ,0.25 ,,
800.67 ,0.73 ,0.75 ,0.25 ,,
820.63 ,0.73 ,0.75 ,0.33 ,,
862.56 ,0.73 ,0.75 ,0.33 ,,
810.65 ,0.75 ,0.70 ,0.42 ,,
571.05 ,0.73 ,0.80 ,0.33 ,,
630.95 ,0.73 ,0.80 ,0.33 ,,
984.43 ,0.70 ,0.93 ,0.42 ,,
964.39 ,0.73 ,0.87 ,0.50 ,,
964.39 ,0.70 ,0.93 ,0.42 ,,
974.58 ,0.73 ,0.87 ,0.42 ,,
988.35 ,0.75 ,0.82 ,0.42 ,,
994.34 ,0.75 ,0.76 ,0.33 ,,
1088.19 ,0.75 ,0.76 ,0.42 ,,
1076.21 ,0.75 ,0.76 ,0.42 ,,
804.66 ,0.75 ,0.76 ,0.50 ,,
732.85 ,0.73 ,0.75 ,0.42 ,,
686.86 ,0.73 ,0.75 ,0.50 ,,
838.60 ,0.73 ,0.75 ,0.50 ,,
882.71 ,0.73 ,0.75 ,0.42 ,,
471.62 ,0.73 ,0.75 ,0.42 ,,
451.30 ,0.73 ,0.75 ,0.33 ,,
381.36 ,0.73 ,0.75 ,0.33 ,,
407.32 ,0.73 ,0.80 ,0.33 ,,
373.38 ,0.73 ,0.80 ,0.33 ,,
376.62 ,0.73 ,0.80 ,0.42 ,,
792.84 ,0.73 ,0.80 ,0.33 ,,
