reality,le_predict,mape,accurary
1164.06,1078.778575,0.073262053,0.93
1182.03,997.8313827,0.155832439,0.84
1178.04,970.0224694,0.176579344,0.82
1196.01,960.5692438,0.196855174,0.8
1200.09,901.6156689,0.248709956,0.75
1215.97,864.5194159,0.289028993,0.71
1172.28,822.5739692,0.298312716,0.7
1154.08,782.0062232,0.3223986,0.68
946.42,782.9764227,0.172696665,0.83
822.63,782.0062232,0.049382805,0.95
790.68,782.0062232,0.010970022,0.99
762.79,779.6463954,0.022098343,0.98
760.73,779.6463954,0.024866109,0.98
762.73,779.6463954,0.022178747,0.98
782.7,779.6463954,0.003901373,1
998.55,779.6463954,0.219221476,0.78
978.37,779.6463954,0.203117026,0.8
1042.26,796.6187358,0.23568137,0.76
1114.14,821.2299911,0.262902336,0.74
1066.22,876.4882251,0.177948055,0.82
1156.07,909.5014629,0.213281667,0.79
1254,909.5014629,0.274719727,0.73
1241.93,944.9290337,0.239144691,0.76
1228.04,944.9290337,0.23053888,0.77
1164.06,844.6733075,0.27437305,0.73
1152.08,843.430556,0.26790626,0.73
1179.98,845.7212552,0.283274924,0.72
1247.92,844.6733075,0.323135051,0.68
1207.99,844.6733075,0.300761341,0.7
1219.97,819.4564556,0.328297863,0.67
1202.24,820.6638825,0.317387641,0.68
1184.03,765.0022341,0.353899619,0.65
1106.16,782.0062232,0.293044204,0.71
1020.3,782.0062232,0.233552658,0.77
964.39,782.0062232,0.189118279,0.81
940.5,782.0062232,0.168520762,0.83
928.45,780.8556726,0.158968525,0.84
906.49,782.9764227,0.13625476,0.86
914.67,782.0062232,0.145040044,0.85
990.35,780.8556726,0.211535646,0.79
998.34,780.8556726,0.217845952,0.78
1034.28,782.0062232,0.243912458,0.76
1128.12,765.0022341,0.321878671,0.68
1198,821.6820428,0.314121834,0.69
1214.06,845.7212552,0.303394185,0.7
1245.92,877.5756442,0.295640455,0.7
1211.98,910.62984,0.248642849,0.75
1206.24,879.2774379,0.271059293,0.73
1152.08,911.6183182,0.208719604,0.79
1122.13,911.6183182,0.187600084,0.81
1194.01,846.6392759,0.290927818,0.71
1219.97,822.5739692,0.325742462,0.67
1227.95,821.6820428,0.33085057,0.67
1220.05,766.7827689,0.371515291,0.63
993.74,783.8263346,0.211236003,0.79
928.45,784.4947696,0.155048985,0.84
834.61,783.8263346,0.060847181,0.94
793.6,782.9764227,0.013386564,0.99
770.72,783.8263346,0.017005313,0.98
764.79,782.9764227,0.023779629,0.98
742.76,783.8263346,0.055288834,0.94
734.92,750.7951042,0.021601132,0.98
768.72,782.9764227,0.018545664,0.98
776.71,750.7951042,0.033364957,0.97
1038.27,782.9764227,0.245883611,0.75
1064.23,782.9764227,0.264278941,0.74
1074.21,783.8263346,0.270322996,0.73
1094.18,822.5739692,0.248227925,0.75
1160.14,822.5739692,0.290970082,0.71
1207.99,765.9513375,0.365929074,0.63
1192.27,845.7212552,0.290662975,0.71
1200,847.3612769,0.293865603,0.71
1124.13,847.3612769,0.246207043,0.75
1090.18,845.7212552,0.224237048,0.78
1136.11,822.5739692,0.275973304,0.72
1237.94,822.5739692,0.335530018,0.66
1205.99,805.4230403,0.332147829,0.67
1204.08,804.4250268,0.331917292,0.67
1154.08,782.9764227,0.321557931,0.68
992.54,782.0062232,0.212116163,0.79
858.57,782.0062232,0.089175928,0.91
846.59,782.9764227,0.075140951,0.92
798.67,780.8556726,0.022304991,0.98
784.69,749.8647811,0.044380862,0.96
782.44,750.7951042,0.040443863,0.96
772.87,749.8647811,0.029765962,0.97
758.8,748.7615196,0.013229415,0.99
874.54,728.5502421,0.166933197,0.83
1002.94,735.8670896,0.266290018,0.73
1002.33,735.8670896,0.265843495,0.73
1096.17,749.8647811,0.315922912,0.68
1138.1,782.9764227,0.312031963,0.69
1202.08,822.5739692,0.315707799,0.68
1229.95,752.2510452,0.388388922,0.61
1242.18,737.5798126,0.406221471,0.59
1202,737.5798126,0.386372868,0.61
1138.1,730.2459353,0.358363997,0.64
1160.07,730.2459353,0.370515628,0.63
1164.06,729.4541212,0.373353503,0.63
1215.97,736.7800464,0.394080408,0.61
1209.98,737.5798126,0.390419831,0.61
1178.13,735.8670896,0.375393981,0.62
1078.41,751.6100837,0.303038655,0.7
900.5,751.6100837,0.165341384,0.83
824.63,750.7951042,0.089536999,0.91
790.68,729.4541212,0.07743446,0.92
794.68,750.7951042,0.055223355,0.94
760.73,751.6100837,0.011988375,0.99
746.76,768.3164004,0.028866571,0.97
722.8,768.3164004,0.06297233,0.94
748.81,767.4833061,0.024937309,0.98
784.85,766.5323044,0.023339104,0.98
958.4,696.4977542,0.27327029,0.73
946.42,689.8141291,0.271133187,0.73
1008.32,687.1997686,0.318470556,0.68
1052.49,688.212322,0.346110346,0.65
1164.06,715.0200752,0.385753247,0.61
1176.28,760.6769041,0.353319869,0.65
1162.33,821.6347357,0.293114059,0.71
1144.09,856.8524522,0.251062021,0.75
1094.18,882.1686302,0.19376279,0.81
1016.31,854.8627679,0.158856286,0.84
1014.31,864.7127516,0.147486714,0.85
1058.24,804.5033901,0.239772273,0.76
942.43,782.484232,0.169716338,0.83
908.65,749.5095592,0.175139428,0.82
902.58,737.4437354,0.182960252,0.82
902.5,748.5808291,0.170547558,0.83
856.57,721.4087157,0.157793624,0.84
804.66,736.3587487,0.084882126,0.92
786.69,720.347321,0.084331413,0.92
742.76,720.347321,0.03017486,0.97
738.77,720.347321,0.024936961,0.98
722.93,720.347321,0.003572516,1
736.84,688.5742273,0.065503736,0.93
794.68,687.5078624,0.134862004,0.87
902.5,687.5078624,0.238218435,0.76
986.36,719.2317505,0.270822265,0.73
1042.26,747.4794566,0.282828223,0.72
1072.21,779.5186565,0.272979494,0.73
1130.12,801.0818079,0.291153322,0.71
1136.34,860.7015411,0.242566889,0.76
942.43,929.6749769,0.013534186,0.99
926.54,963.1975367,0.039563901,0.96
890.52,928.2352298,0.042351918,0.96
896.51,940.0657199,0.048583641,0.95
907.17,928.2352298,0.023220818,0.98
1042.46,928.2352298,0.109572329,0.89
1132.11,859.3686101,0.240914213,0.76
936.52,857.3730832,0.084511721,0.92
962.49,786.1280504,0.183235098,0.82
934.44,784.3025943,0.160670996,0.84
868.55,754.8634778,0.130892317,0.87
836.61,754.8634778,0.097711625,0.9
790.68,728.3984615,0.078769589,0.92
746.76,728.3984615,0.024588273,0.98
756.88,725.9753372,0.040831655,0.96
748.75,697.4299956,0.068540907,0.93
750.82,697.4299956,0.071108927,0.93
778.7,697.4299956,0.104366257,0.9
826.62,694.0334061,0.160396063,0.84
838.6,752.3523138,0.102847229,0.9
1110.15,830.7059626,0.251717369,0.75
1176.04,830.7059626,0.293641405,0.71
1170.29,922.9990485,0.211307412,0.79
1205.99,922.9990485,0.234654476,0.77
1204.08,980.4234419,0.185748919,0.81
1126.12,1005.368148,0.107228228,0.89
1020.3,1010.288405,0.009812403,0.99
1030.28,836.7143475,0.187876745,0.81
926.46,876.716607,0.053691895,0.95
960.4,833.4786515,0.132154674,0.87
936.44,859.3686101,0.082302539,0.92
980.54,818.8877511,0.164860433,0.84
922.55,801.0818079,0.131665701,0.87
896.51,778.3114499,0.13184298,0.87
862.72,776.5041446,0.099934921,0.9
794.68,742.111861,0.066150072,0.93
764.73,742.111861,0.029576634,0.97
736.58,725.9753372,0.014397164,0.99
716.87,744.5888449,0.038666488,0.96
728.79,742.111861,0.018279423,0.98
716.81,715.1745593,0.002281554,1
818.64,715.1745593,0.126386984,0.87
924.46,742.111861,0.197248274,0.8
958.4,742.111861,0.225676272,0.77
1024.29,784.3025943,0.234296347,0.77
1080.2,891.1482217,0.175015533,0.82
1174.28,913.8215171,0.221802707,0.78
1130.2,948.8674594,0.160442878,0.84
1140.1,992.3475962,0.129596004,0.87
1094.18,1091.21746,0.002707544,1
1058.24,1032.963717,0.023885208,0.98
1002.33,992.3475962,0.009959199,0.99
1060.23,993.8097692,0.062647002,0.94
1082.2,946.8182769,0.125098617,0.87
1060.23,878.4701157,0.171434391,0.83
1030.57,862.4230183,0.163159205,0.84
996.34,862.4230183,0.134408918,0.87
730.78,791.2748357,0.082781187,0.92
832.61,815.8538369,0.020124864,0.98
814.64,793.1165197,0.026420849,0.97
786.69,746.3218678,0.0513139,0.95
764.73,744.5888449,0.026337603,0.97
766.72,747.4794566,0.025094615,0.97
750.75,720.347321,0.040496409,0.96
752.89,719.2317505,0.044705401,0.96
808.88,744.5888449,0.079481697,0.92
890.52,746.3218678,0.161925765,0.84
956.41,746.3218678,0.219663253,0.78
976.87,756.6204148,0.225464581,0.77
994.34,787.347381,0.208170866,0.79
1046.47,852.283084,0.185563768,0.81
1098.25,852.283084,0.223962591,0.78
1102.16,833.7509907,0.243529986,0.76
1056.24,862.1778005,0.183729266,0.82
1006.32,900.2891393,0.105364954,0.89
1016.31,886.8949885,0.127338127,0.87
996.34,854.8627679,0.141996941,0.86
1064.23,853.6050249,0.197913022,0.8
1080.2,836.7143475,0.225407936,0.77
1094.27,835.4185645,0.236551706,0.76
1080.41,801.0818079,0.258539066,0.74
976.37,787.347381,0.193597324,0.81
832.61,756.6204148,0.091266722,0.91
820.63,752.3523138,0.083201548,0.92
778.7,752.3523138,0.033835477,0.97
746.76,754.8634778,0.010851516,0.99
734.78,738.4496822,0.00499426,1
740.83,754.8634778,0.018942912,0.98
740.91,735.9931211,0.00663627,0.99
752.75,738.4496822,0.018997433,0.98
926.46,735.9931211,0.205585647,0.79
962.4,740.1684162,0.230913948,0.77
974.38,740.1684162,0.24036986,0.76
1004.33,740.1684162,0.263022696,0.74
1072.21,728.3984615,0.320656903,0.68
1090.27,710.3257928,0.348486345,0.65
1039.47,762.4445898,0.266506402,0.73
850.58,812.6430436,0.04460128,0.96
1048.25,817.2531743,0.220364251,0.78
993.27,801.9975467,0.192568439,0.81
1044.26,812.6430436,0.221800085,0.78
1062.31,815.355443,0.232469389,0.77
1026.49,786.1280504,0.234159076,0.77
1046.26,784.3025943,0.250375056,0.75
998.34,784.3025943,0.214393299,0.79
