power,temperature,humidity,speed
373.06,0.21 ,0.92 ,0.46 
338.3,0.21 ,1.00 ,0.54 
355.68,0.21 ,0.92 ,0.46 
355.68,0.21 ,0.92 ,0.46 
374.41,0.18 ,0.92 ,0.31 
382.4,0.18 ,0.92 ,0.23 
398.37,0.18 ,0.85 ,0.38 
443.94,0.18 ,0.85 ,0.31 
488.18,0.18 ,0.85 ,0.31 
486.77,0.21 ,0.79 ,0.46 
478.78,0.21 ,0.79 ,0.46 
513.46,0.21 ,0.79 ,0.62 
496.08,0.26 ,0.62 ,0.46 
493.35,0.29 ,0.56 ,0.46 
467.98,0.29 ,0.51 ,0.54 
485.36,0.26 ,0.62 ,0.54 
501.34,0.24 ,0.60 ,0.62 
544.09,0.21 ,0.60 ,0.62 
578.86,0.16 ,0.78 ,0.69 
596.25,0.16 ,0.72 ,0.54 
569.36,0.16 ,0.60 ,0.62 
533.19,0.13 ,0.65 ,0.54 
489.03,0.13 ,0.60 ,0.54 
438.29,0.11 ,0.59 ,0.54 
388.97,0.08 ,0.59 ,0.54 
389.04,0.08 ,0.59 ,0.54 
373.06,0.05 ,0.59 ,0.62 
371.66,0.05 ,0.59 ,0.54 
409.24,0.05 ,0.59 ,0.54 
390.08,0.03 ,0.59 ,0.54 
470.61,0.00 ,0.59 ,0.54 
493.26,0.00 ,0.59 ,0.38 
498.72,0.05 ,0.49 ,0.46 
493.64,0.08 ,0.44 ,0.46 
524.54,0.08 ,0.41 ,0.23 
533.41,0.11 ,0.41 ,0.23 
531.16,0.13 ,0.37 ,0.31 
553.63,0.13 ,0.33 ,0.31 
480.16,0.16 ,0.29 ,0.38 
488.95,0.16 ,0.29 ,0.31 
488.87,0.16 ,0.29 ,0.31 
521.57,0.13 ,0.29 ,0.15 
573.16,0.11 ,0.36 ,0.23 
588.26,0.11 ,0.36 ,0.31 
562.89,0.11 ,0.41 ,0.31 
584.87,0.08 ,0.44 ,0.15 
561.48,0.08 ,0.44 ,0.08 
463.75,0.08 ,0.55 ,0.23 
438.38,0.08 ,0.55 ,0.15 
412.93,0.08 ,0.49 ,0.15 
387.56,0.05 ,0.59 ,0.15 
380.98,0.05 ,0.59 ,0.15 
380.92,0.03 ,0.65 ,0.15 
415.75,0.03 ,0.65 ,0.08 
431.72,0.00 ,0.71 ,0.15 
502.74,0.05 ,0.59 ,0.15 
504.4,0.11 ,0.41 ,0.15 
528.12,0.16 ,0.37 ,0.15 
512.12,0.16 ,0.37 ,0.23 
529.53,0.18 ,0.34 ,0.15 
487.71,0.21 ,0.30 ,0.23 
470.83,0.24 ,0.24 ,0.15 
472.09,0.24 ,0.24 ,0.15 
455.16,0.26 ,0.22 ,0.23 
480.97,0.26 ,0.28 ,0.23 
520.26,0.24 ,0.27 ,0.23 
534.7,0.21 ,0.47 ,0.23 
518.72,0.18 ,0.50 ,0.31 
507.92,0.16 ,0.50 ,0.31 
498.52,0.16 ,0.50 ,0.23 
487.64,0.13 ,0.55 ,0.15 
478.32,0.13 ,0.60 ,0.08 
394.21,0.13 ,0.60 ,0.08 
405.02,0.11 ,0.65 ,0.08 
378.24,0.11 ,0.65 ,0.00 
378.24,0.08 ,0.71 ,0.00 
379.57,0.08 ,0.78 ,0.08 
431.72,0.08 ,0.71 ,0.00 
447.69,0.05 ,0.78 ,0.08 
525.2,0.11 ,0.78 ,0.15 
513.46,0.18 ,0.72 ,0.15 
505.48,0.24 ,0.56 ,0.23 
514.96,0.29 ,0.35 ,0.23 
513.55,0.34 ,0.26 ,0.31 
496.16,0.34 ,0.28 ,0.38 
494.76,0.37 ,0.26 ,0.31 
502.74,0.39 ,0.17 ,0.31 
504.06,0.39 ,0.15 ,0.23 
530.07,0.39 ,0.17 ,0.31 
548.32,0.34 ,0.26 ,0.46 
558.91,0.29 ,0.28 ,0.38 
553.33,0.26 ,0.35 ,0.38 
491.38,0.24 ,0.47 ,0.46 
518.04,0.24 ,0.51 ,0.38 
483.86,0.21 ,0.60 ,0.31 
436.23,0.21 ,0.66 ,0.31 
411.76,0.21 ,0.66 ,0.31 
386.03,0.21 ,0.66 ,0.23 
369.17,0.21 ,0.66 ,0.23 
361.23,0.18 ,0.72 ,0.15 
386.97,0.16 ,0.78 ,0.08 
422.32,0.18 ,0.72 ,0.15 
423.73,0.18 ,0.72 ,0.15 
496.05,0.18 ,0.78 ,0.15 
494.67,0.29 ,0.56 ,0.15 
528.02,0.37 ,0.43 ,0.23 
551.13,0.42 ,0.40 ,0.15 
532.24,0.47 ,0.37 ,0.23 
530.93,0.47 ,0.37 ,0.23 
557.71,0.50 ,0.34 ,0.15 
538.92,0.50 ,0.34 ,0.23 
501.34,0.50 ,0.30 ,0.15 
525.3,0.50 ,0.34 ,0.23 
510.64,0.50 ,0.30 ,0.15 
545.4,0.47 ,0.34 ,0.15 
528.02,0.39 ,0.57 ,0.15 
492.48,0.37 ,0.57 ,0.08 
466.48,0.37 ,0.57 ,0.15 
473.06,0.32 ,0.62 ,0.08 
431.72,0.26 ,0.72 ,0.15 
382.59,0.29 ,0.67 ,0.15 
358.28,0.29 ,0.67 ,0.08 
344.88,0.26 ,0.72 ,0.08 
345.26,0.24 ,0.79 ,0.23 
355.68,0.24 ,0.79 ,0.23 
380.98,0.26 ,0.79 ,0.31 
390.38,0.26 ,0.79 ,0.31 
429.5,0.26 ,0.72 ,0.31 
450.51,0.29 ,0.67 ,0.31 
483.86,0.32 ,0.62 ,0.23 
486.69,0.32 ,0.67 ,0.23 
512.14,0.32 ,0.67 ,0.31 
485.36,0.32 ,0.67 ,0.31 
470.71,0.29 ,0.73 ,0.38 
530.93,0.29 ,0.73 ,0.46 
514.96,0.29 ,0.79 ,0.23 
540.33,0.26 ,0.79 ,0.31 
575.1,0.26 ,0.86 ,0.31 
575,0.26 ,0.86 ,0.23 
590.94,0.26 ,0.86 ,0.38 
600.37,0.24 ,0.93 ,0.31 
